id,name,parent_id,color,label_tree_id,aphia_id,catami / CAAB
200625,SM492 Pontinus longispinis,200342,e6456d,1064,159555,37990025
200626,SM493 Bathypterois phenax,200250,8000ff,1064,126345,37990025
200627,SM494 Bathysaurus ferox,200250,24f251,1064,126369,37990025
200628,SM495 Coloconger meadi,200237,b8e622,1064,277416,37990025
200629,SM496 Gymnothorax maderensis,200237,f224ae,1064,126299,37990083
200630,SM497 Synaphobranchus msp1,200237,ffe173,1064,125656,11168910
200631,SM498 Aldrovandia oleosa,200334,9cf26d,1064,157881,11229903
200632,SM499 Nezumia cyrano,200321,e63962,1064,158743,37990083
200633,SM500 Macrouridae msp3,200321,26ffde,1064,125471,37990083
200634,SM501 Merluccius albidus,200322,33ddff,1064,158748,37990083
200635,SM502 Coryphaenoides mediterraneus,200321,ff73ff,1064,183099,37990083
200636,SM503 Cookeolus japonicus,200295,61f2a5,1064,127003,37990083
200637,SM504 Chaunax pictus,200319,0b5fe6,1064,126539,37990083
200638,SM505 Ositchthys trachypoma,200307,f2d561,1064,159399,37990083
200639,SM506 Bassozetus msp1,200337,247ef2,1064,125856,37990083
200640,SM507 Dibranchus atlanticus,200319,be50e6,1064,126558,11229903
200641,SM508 Xyelacyba myersi,200337,4dff85,1064,158779,37990083
200642,SM509 Pontinus rathbuni,200342,0be6ba,1064,159556,37990083
200643,SM511 Pontinus castor,200342,f06df2,1064,274682,37990083
200644,SM512 Liopropoma santi,200342,6dcaf2,1064,1007133,37990083
200645,SM513 Bembrops,200342,70ff33,1064,159841,37990028
200646,SM514 Neoepinnulaamericana,200361,80ffc1,1064,159712,37990030
200647,SM515 Grammicolepis brachiusculus,201017,e63d2e,1064,127420,37990028
200648,SM516 Chimaera opalescens,200267,f25a55,1064,712407,37990030
200649,SM517 Rajella lintea,200252,66ffb3,1064,1019159,11229903
200650,SM518 Hydrolagus affinis,200267,ff4dbe,1064,105825,37990016
